City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
146,srednekolymsk,100,RU,1670385737,96,67.45,153.6833,-23.21,16.13
147,tateyama,60,JP,1670385139,61,34.9833,139.8667,53.92,3.76
148,freeport,100,US,1670385737,90,40.6576,-73.5832,56.98,16.11
149,chengde,4,CN,1670385738,17,40.9725,117.9361,31.82,4.81
150,kaffrine,4,SN,1670385738,46,14.1059,-15.5508,75.69,7.34
151,sao filipe,3,IN,1670385738,49,20.5113,76.2129,72.12,7.11
152,ofunato,75,JP,1670385739,84,39.0717,141.7167,41.72,5.12
153,zhangye,29,CN,1670385739,51,38.9342,100.4517,26.58,4.85
154,lorengau,97,PG,1670385546,82,-2.0226,147.2712,81.18,6.8
155,fairbanks,100,US,1670385554,86,64.8378,-147.7164,13.96,3.44
156,bida,86,NG,1670385740,26,9.0833,6.0167,70.38,2.73
157,flinders,89,AU,1670385740,37,-34.5833,150.8552,84.06,8.01
158,coquimbo,59,CL,1670385740,81,-29.9533,-71.3436,63.21,1.63
159,kruisfontein,0,ZA,1670385695,71,-34.0033,24.7314,62.13,2.42
160,sabha,0,LY,1670385741,28,27.0377,14.4283,59.09,1.68
161,vanimo,97,PG,1670385741,85,-2.6741,141.3028,80.46,8.55
162,sirpur,97,IN,1670385742,44,19.4833,79.6,71.4,7.25
163,vanderhoof,100,CA,1670385742,95,54.0166,-124.0198,14.5,1.7
164,soubre,55,CI,1670385742,99,5.7856,-6.6083,71.56,2.51
165,pevek,90,RU,1670385743,100,69.7008,170.3133,-4.52,1.92
166,saint-philippe,81,RE,1670385743,78,-21.3585,55.7679,80.19,13.78
167,maunabo,0,PR,1670385744,88,18.0072,-65.8993,74.39,7.87
168,ormara,0,PK,1670385707,57,25.2088,64.6357,74.35,1.5
169,inongo,100,CD,1670385744,97,-1.95,18.2667,69.35,4.61
170,glendive,100,US,1670385669,81,47.1053,-104.7125,0.48,9.22
171,san quintin,14,ML,1670385730,21,13.3034,-4.8956,76.87,8.48
172,kirakira,53,SB,1670385745,74,-10.4544,161.9205,84.33,5.55
173,alnavar,95,IN,1670385745,52,15.4333,74.7333,68.9,9.06
174,wajima,75,JP,1670385214,87,37.4,136.9,47.08,8.05
175,saskylakh,67,RU,1670385492,93,71.9167,114.0833,-26.25,12.39
176,weleri,100,ID,1670385746,74,-6.9713,110.0666,87.69,3.58
177,byron bay,0,US,1670385746,89,44.0327,-92.6455,26.02,6.91
178,dartford,100,GB,1670385747,90,51.4435,0.2196,39.97,6.91
179,roald,20,NO,1670385193,64,62.5833,6.1333,35.76,10.36
180,mansa,0,IN,1670385747,27,29.9833,75.3833,64.78,6.87
181,monrovia,32,LR,1670385476,85,6.3005,-10.7969,76.77,3.94
182,bereda,100,ES,1670385748,100,43.2686,-7.5406,48.42,2.06
183,bowen,5,AU,1670385748,54,-20.0167,148.2333,83.43,8.68
184,plotnikovo,100,RU,1670385748,90,55.0247,85.9436,-1.86,5.77
185,perbaungan,99,ID,1670385749,80,3.5679,98.956,80.71,2.66
186,mount pleasant,19,GB,1670384931,86,53.6597,-1.8537,33.96,3.38
187,castro,4,BR,1670385548,94,-24.7911,-50.0119,63.0,1.54
188,juneau,100,US,1670385210,100,58.3019,-134.4197,37.22,4.92
189,kahului,100,US,1670385750,76,20.8947,-156.47,79.84,7.0
190,pathein,63,MM,1670385213,60,16.7833,94.7333,85.21,7.47
191,cabo rojo,38,BR,1670385675,85,-8.2833,-35.0333,80.53,3.47
192,bako,19,ET,1670385221,75,5.7833,36.5667,62.82,4.16
193,geraldton,0,AU,1670385750,17,-28.7667,114.6,97.21,8.05
194,manokwari,81,ID,1670384977,71,-0.8667,134.0833,82.85,6.96
195,pundaguitan,90,PH,1670385751,74,6.3711,126.1689,80.98,3.62
196,puri,92,IN,1670385751,38,19.8,85.85,73.92,12.77
197,katsuura,84,JP,1670385526,58,35.1333,140.3,54.84,10.87
198,leh,51,IN,1670385752,65,34.1667,77.5833,19.71,1.81
199,bogorodskoye,97,RU,1670385752,72,56.55,37.8833,16.25,12.97
200,taoudenni,0,ML,1670385752,24,22.6783,-3.9836,75.94,2.53
201,tual,65,ID,1670385753,66,-5.6667,132.75,83.39,5.68
202,ulladulla,70,AU,1670385684,32,-35.35,150.4667,82.44,11.63
203,meulaboh,100,ID,1670385754,91,4.1363,96.1285,75.58,5.59
204,laguna,0,US,1670385754,87,38.421,-121.4238,50.02,0.0
205,tasiilaq,6,GL,1670385754,85,65.6145,-37.6368,30.36,9.46
206,hithadhoo,88,MV,1670385755,76,-0.6,73.0833,81.77,12.08
207,sambava,4,MG,1670385225,70,-14.2667,50.1667,75.99,7.72
208,araouane,10,ML,1670385755,22,18.9048,-3.5265,74.62,8.32
209,chapais,97,CA,1670385640,97,49.7834,-74.8492,20.48,3.11
210,sisimiut,66,GL,1670385756,83,66.9395,-53.6735,28.96,14.2
211,inta,99,RU,1670385756,74,66.0317,60.1659,11.37,18.43
212,wewak,100,PG,1670385630,83,-3.5534,143.6268,80.67,3.2
213,eluru,79,IN,1670385756,51,16.7,81.1,71.69,4.99
214,ponta do sol,98,PT,1670385757,73,38.7333,-28.2667,51.66,34.4
215,teguise,0,ES,1670385757,88,29.0605,-13.564,57.42,3.44
216,korla,90,CN,1670385758,38,41.7597,86.1469,28.92,2.17
217,longyearbyen,20,SJ,1670385758,56,78.2186,15.6401,10.24,11.5
218,severo-kurilsk,87,RU,1670385758,77,50.6789,156.125,32.16,10.56
219,naze,95,JP,1670385510,64,28.3667,129.4833,65.32,12.5
220,pisco,100,PE,1670385759,88,-13.7,-76.2167,64.45,8.05
221,hovd,3,MN,1670385199,61,48.0056,91.6419,6.55,1.3
222,beberibe,32,BR,1670385759,80,-4.1797,-38.1306,77.7,10.54
223,honiara,89,SB,1670385505,79,-9.4333,159.95,83.32,2.82
224,tautira,24,PF,1670385699,79,-17.7333,-149.15,79.25,17.43
225,kieta,100,PG,1670385163,72,-6.2167,155.6333,83.71,3.56
226,cidreira,59,BR,1670385760,84,-30.1811,-50.2056,69.17,5.32
227,cassilandia,100,BR,1670385760,80,-19.1133,-51.7342,71.47,3.18
228,carutapera,3,BR,1670385761,88,-1.195,-46.02,74.89,7.16
229,coroneo,9,MX,1670385761,49,20.1333,-100.3333,54.37,3.56
230,hamilton,100,US,1670385481,97,39.1834,-84.5333,56.93,65.99
231,kajaani,100,FI,1670385761,86,64.2273,27.7285,28.45,6.91
232,szprotawa,100,PL,1670385762,96,51.5656,15.5366,35.13,11.1
233,prince rupert,44,CA,1670385183,100,52.9669,-108.3847,-27.24,4.29
234,esqueda,99,MX,1670385763,54,30.7167,-109.5833,53.91,5.91
235,banda aceh,0,IN,1670385226,35,25.4833,80.3333,64.72,5.06
236,chara,100,RU,1670385763,77,56.9064,118.2631,1.58,5.19
237,hanna,23,CA,1670385764,94,51.6334,-111.9018,-16.96,12.08
238,moron,0,AR,1670385657,60,-34.6534,-58.6198,81.79,6.82
239,imeni poliny osipenko,91,NG,1670385764,91,7.3199,5.9646,70.21,2.57
240,avera,96,US,1670385765,98,33.194,-82.5271,57.38,4.59
241,luderitz,0,NA,1670385765,80,-26.6481,15.1594,55.69,8.16
242,mana,91,GF,1670385765,93,5.6592,-53.7767,75.76,7.99
243,busayra,0,JO,1670385766,80,30.7376,35.6078,46.31,1.28
244,isangel,100,VU,1670385766,70,-19.55,169.2667,84.31,6.49
245,victoria,31,HK,1670385767,68,22.2855,114.1577,71.26,11.01
246,khilok,100,RU,1670385767,80,51.3674,110.4676,13.28,13.85
247,east london,68,IS,1670385767,94,65.0,-15.0,22.78,4.99
248,westport,100,US,1670384955,86,41.1415,-73.3579,56.77,5.99
249,tupik,47,RU,1670385768,82,54.4253,119.9327,2.41,2.91
250,ponta delgada,98,PT,1670385757,73,38.7333,-28.2667,51.66,34.4
251,laredo,100,US,1670385768,94,27.5064,-99.5075,70.09,3.44
252,ardee,90,IE,1670385769,90,53.8597,-6.5406,33.58,4.25
253,atambua,78,ID,1670385756,53,-9.1061,124.8925,85.69,3.94
254,clyde river,100,US,1670385604,95,41.3042,-82.9752,45.18,3.71
255,aras,81,ES,1670385769,93,42.5617,-2.356,41.76,4.61
256,porto santo,0,PT,1670385228,94,41.1496,-8.611,55.29,8.05
257,ribeira grande,20,ES,1670385770,94,42.7461,-8.4439,51.73,4.61
258,gornozavodsk,100,RU,1670385770,99,58.3758,58.3211,-0.8,2.91
259,athabasca,22,CA,1670385584,89,54.7169,-113.2854,-25.19,8.46
260,volkhovskiy,100,RU,1670385771,95,58.58,31.3164,23.14,12.44
261,sohag,0,EG,1670385771,75,26.557,31.6948,54.39,6.42
262,coahuayana,38,MX,1670385771,90,18.7333,-103.6833,75.36,1.88
263,salalah,7,OM,1670385669,67,17.0151,54.0924,74.08,2.8
264,nurota,34,UZ,1670385772,56,40.5614,65.6886,25.47,2.46
265,ondarroa,93,ES,1670385773,88,43.3167,-2.4167,51.53,2.95
266,svetlogorsk,100,BY,1670385191,86,52.6333,29.7333,19.98,14.99
267,seoul,0,KR,1670385135,40,37.5683,126.9778,49.44,10.36
268,alofi,75,NU,1670385515,78,-19.0595,-169.9187,82.29,4.61
269,dingle,41,PH,1670385773,67,10.9995,122.6711,84.42,12.46
270,moose factory,100,US,1670385774,80,43.6558,-110.7183,22.93,17.27
271,strezhevoy,98,RU,1670385774,99,60.7333,77.5889,-3.93,7.25
272,ucluelet,99,CA,1670385775,91,48.9329,-125.5528,40.08,0.94
273,caravelas,95,BR,1670385775,94,-17.7125,-39.2481,72.07,3.11
274,dagana,0,MR,1670385776,45,16.5165,-15.5068,75.92,10.11
275,mizdah,50,LY,1670385776,25,31.4451,12.9801,60.26,5.66
276,linhares,100,BR,1670385477,96,-19.3911,-40.0722,70.0,3.18
277,guerrero negro,16,MX,1670385777,87,17.6667,-100.0,64.13,4.36
278,takoradi,97,GH,1670385777,88,4.8845,-1.7554,77.88,5.88
279,hami,88,CN,1670385777,34,42.8,93.45,26.2,2.39
280,fortuna,100,US,1670385778,95,40.5982,-124.1573,40.66,5.75
281,asau,99,RO,1670385779,95,46.4333,26.4,36.52,4.92
282,nelidovo,100,RU,1670385779,79,56.2211,32.7774,17.11,10.47
283,verkhnyaya inta,100,RU,1670385779,83,60.9844,40.2072,20.32,10.54
284,horodnye,100,UA,1670385780,89,45.8908,28.8483,42.33,10.42
285,merauke,75,ID,1670385258,56,-8.4667,140.3333,86.77,10.65
286,nosy varika,100,PL,1670385780,96,51.9889,20.7953,35.08,9.84
287,kinkala,100,CG,1670385781,97,-4.3614,14.7644,68.86,0.45
288,verkh-usugli,9,RU,1670385781,61,52.7,115.1667,10.9,4.85
289,tarko-sale,37,RU,1670385781,95,64.9225,77.785,-2.72,11.77
290,shimoda,7,JP,1670385782,58,34.6667,138.95,56.1,20.98
291,kalach-na-donu,1,RU,1670385782,71,48.691,43.5264,13.86,11.41
292,faya,0,SA,1670385782,70,18.3851,42.4509,52.11,2.77
293,senekal,81,ZA,1670385783,83,-28.3197,27.6208,58.28,9.62
294,axim,97,GH,1670385783,81,4.8699,-2.2405,79.54,7.02
295,sicuani,98,PE,1670385784,81,-14.2694,-71.2261,45.36,0.96
296,anadyr,75,RU,1670385784,85,64.75,177.4833,12.7,6.71
297,qostanay,100,KZ,1670385784,84,53.1667,63.5833,-7.31,4.47
298,grindavik,75,IS,1670385785,86,63.8424,-22.4338,32.47,9.22
299,tezu,2,IN,1670385785,27,27.9167,96.1667,74.98,3.04
300,zatoka,100,UA,1670385786,87,46.0725,30.4654,46.24,13.06
301,davila,62,PH,1670385786,80,18.4726,120.5763,80.47,21.74
302,ternate,97,ID,1670385787,69,0.8,127.4,84.11,6.78
303,erie,100,US,1670385445,80,42.7667,-78.6664,44.11,4.97
304,manaure,9,CO,1670385787,77,11.7751,-72.4445,76.59,9.73
305,perth,0,AU,1670385727,34,-31.9333,115.8333,82.02,19.57
306,sindor,100,RU,1670385788,88,62.8629,51.8905,12.04,8.84
307,buala,95,SB,1670385788,74,-8.145,159.5921,83.55,3.69
308,hualmay,75,PE,1670385788,87,-11.0964,-77.6139,65.53,6.51
309,san policarpo,14,ML,1670385730,21,13.3034,-4.8956,76.87,8.48
310,porto belo,0,PT,1670385595,94,41.1496,-8.611,55.29,8.05
311,lavrentiya,94,RU,1670385789,76,65.5833,-171.0,18.86,7.49
312,eidfjord,95,NO,1670385789,96,60.4675,7.0719,19.29,2.93
313,tuatapere,61,NZ,1670385790,49,-46.1333,167.6833,67.32,8.1
314,suihua,11,CN,1670385790,72,46.6406,126.9969,17.15,7.94
315,pierrelatte,19,FR,1670385790,85,44.3776,4.702,39.2,15.41
316,sokoni,65,TZ,1670385791,75,-6.4333,39.55,80.56,7.05
317,buchanan,36,LR,1670385791,87,5.8808,-10.0467,77.32,2.44
318,vila velha,94,PT,1670385792,94,42.0304,-8.1588,40.08,2.89
319,maxixe,8,MZ,1670385792,79,-23.8597,35.3472,78.46,6.02
320,broome,100,US,1670385792,90,42.2506,-75.833,52.29,5.99
321,biak,43,ID,1670385716,61,-0.9131,122.8766,84.04,3.04
322,gamboma,100,CG,1670385793,94,-1.8764,15.8644,70.18,2.73
323,bathsheba,100,BB,1670385793,96,13.2167,-59.5167,74.05,4.16
324,humboldt,3,US,1670385794,93,40.6665,-123.9178,31.86,3.49
325,tecoanapa,25,MX,1670385794,80,16.5167,-98.75,77.18,3.65
326,shingu,60,JP,1670385246,50,33.7333,135.9833,53.56,12.28
327,kijang,58,KR,1670385650,41,35.2442,129.2139,49.21,11.68
328,cherskiy,100,RU,1670385716,98,68.75,161.3,-14.24,11.14
329,qandala,81,SO,1670385795,70,11.472,49.8728,76.28,4.92
330,vanavara,100,RU,1670385712,90,60.34,102.2797,11.84,13.89
331,petrove,100,UA,1670385796,70,48.3247,33.2562,28.0,12.41
332,ahtopol,77,BG,1670385796,82,42.1,27.95,46.51,3.29
333,noumea,96,NC,1670384992,99,-22.2763,166.4572,82.99,7.25
334,artsyz,100,UA,1670385797,86,45.9919,29.4182,43.29,9.62
335,elizabeth city,100,US,1670385521,95,40.664,-74.2107,57.36,6.91
336,zapolyarnyy,99,RU,1670385797,95,69.4154,30.8136,27.68,6.26
337,smithers,89,CA,1670385797,97,54.7804,-127.1743,17.51,2.1
338,port lincoln,100,CD,1670385798,72,-7.0349,29.7638,70.77,4.27
339,kalmunai,100,LK,1670385798,84,7.4167,81.8167,76.73,17.27
340,valdivia,100,CL,1670385720,88,-39.8142,-73.2459,52.74,1.07
341,eregli,7,TR,1670385723,76,37.5133,34.0467,37.78,1.88
342,mayo,100,US,1670385554,95,38.8876,-76.5119,52.52,3.44
343,rawson,67,AR,1670385205,52,-43.3002,-65.1023,61.12,11.27
344,fosforitnyy,46,RU,1670385799,78,55.3261,38.9,13.51,8.7
345,aklavik,100,CA,1670385238,88,68.2191,-135.0107,-6.25,11.86
346,bilma,100,NE,1670385800,17,18.6853,12.9164,65.89,6.55
347,hutang,100,CN,1670385800,74,31.5333,119.4833,46.63,6.15
348,koryukivka,29,UA,1670385800,66,51.7688,32.2481,20.17,15.05
349,cabedelo,6,BR,1670385674,82,-6.9811,-34.8339,77.58,10.42
350,linping,100,CN,1670385801,80,30.4225,120.2972,51.93,3.76
351,gravdal,76,NO,1670385801,90,68.1214,13.5031,32.88,27.16
352,kilrush,11,IE,1670385802,80,52.6397,-9.4833,31.75,6.76
353,raymondville,27,US,1670385794,83,26.4815,-97.7831,74.08,12.84
354,camocim,28,BR,1670385802,74,-2.9022,-40.8411,77.04,12.15
355,roura,0,GF,1670385803,94,4.7263,-52.3274,75.11,2.3
356,sawtell,6,AU,1670385803,65,-30.3833,153.1,87.19,16.11
357,natchez,100,US,1670385601,88,31.5604,-91.4032,69.24,6.91
358,sederot,8,IL,1670385803,82,31.525,34.5969,58.6,5.97
359,nalut,98,LY,1670385804,20,30.3333,10.85,64.24,11.99
360,goderich,100,CA,1670385635,92,43.7501,-81.7165,40.91,6.6
361,haines junction,100,US,1670385804,98,59.2286,-135.4441,37.08,2.42
362,samfya,90,ZM,1670385805,84,-11.3649,29.5565,65.16,1.79
363,labrea,100,BR,1670385805,98,-7.2586,-64.7981,73.06,2.62
364,padang,100,ID,1670385243,87,-0.9492,100.3543,82.45,8.32
365,cap malheureux,100,FR,1670385806,84,49.2718,-1.2104,42.42,4.45
366,klaksvik,100,FO,1670385806,74,62.2266,-6.589,34.72,25.23
367,pemangkat,99,ID,1670385806,77,1.1667,108.9667,81.19,5.73
368,vestmannaeyjar,19,IS,1670385256,72,63.4427,-20.2734,33.4,19.57
369,hokitika,100,NZ,1670385807,61,-42.7167,170.9667,63.7,4.34
